Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96911556,20.16088222,23.59436653,21.9759573,21.85608063,21.41059437,24.52720396,25.15107914,24.70978441,23.16370018,23.1303931,22.64976959,21.66203803,21.97802198,25.37446904,27.15587754,25.98597721,28.10227022,19.85111663,18.2020202,17.04936854,16.78282162,16.68799123,,,
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15463272,19.13057854,21.85425921,14.31205981,16.02903718,15.34172241,15.5369347,16.81461146,19.89859034,17.04234392,18.23586053,17.84263437,21.62194874,17.97565999,16.43283225,13.88068207,12.93582152,10.47454474,10.32928014,
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,9.311651504,8.843533907,8.898612793,9.093995237,9.751530501,9.639551408,9.613429837,9.99617334,9.805062069,9.131903297,19.18854689,22.8753326,21.40828829,14.6384098,14.62340192,13.82711526,9.453607563,10.44807346,10.84426983,11.05561387,9.69235792,10.62598748,11.33507772,11.09839691,11.20590769,11.0312184,10.52724933,10.47748228,10.37896602,11.1094361,11.15738249,10.97419325,10.84482362,11.02549593,11.45183615,11.11066552,11.26929392,11.49837285,11.29359588,11.52394291,
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,17.29616198,17.01548755,17.39440172,18.03188946,14.32316534,17.28305853,18.34297693,18.39546844,20.53966169,18.68934491,16.29930553,19.24813448,22.33614975,24.37757755,23.7142945,24.26225937,26.61242999,25.77569339,24.1703418,24.23204423,21.53041613,26.62144982,22.85299647,19.7706797,19.77940641,19.21248625,19.00097545,19.96873176,22.05152226,19.65333677,18.73810223,18.4429009,18.41076947,17.12429621,17.18055038,15.69719057,15.11135907,14.80930081,13.55477153,16.99246735,15.98888416,15.67047513,15.86214976,17.21319451,18.28727774,20.89461103,19.79628852,18.8943663,18.05821702,17.96326149,
United Arab Emirates,ARE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.914023515,10.14648629,9.750233543,8.746697514,7.872593156,6.917822055,6.732997877,7.296835617,10.23414291,10.03107177,9.953314801,9.730439549,10.98442789,10.93186437,12.42857827,12.52651063,13.21193518,11.81921854,13.27841895,
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.880445095,7.789632048,12.19237454,10.25219496,7.22902581,8.089486313,10.80433856,9.739278166,9.829350628,9.50117537,9.742543262,10.14621607,9.351696961,11.53932357,13.15323273,12.58917764,9.420094728,9.015409977,11.16611167,11.00784596,,,,,,,,4.714494499,4.321910284,4.494395965,3.135428392,3.321761288,2.975538028,13.51037847,13.18690437,13.34945568,12.50167766,12.06201425,12.494775,13.72321141,13.78419131,14.15627431,12.2352473,11.43805679,11.11463607,12.14186124,12.42941537,12.9893239,13.63351326,15.90389675,15.16371789,15.68895652,16.64543781,16.8062378,16.94987574,18.09837976,17.65457819,17.69689392,16.38048761,15.771007,
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3064997,18.50922324,18.54669719,17.19368198,11.54304603,11.32299122,11.34300916,11.47718311,11.29209705,12.23046955,10.7986681,10.34133848,9.169041823,9.384795808,9.356232102,9.710011798,9.26564058,9.398191982,9.395905687,12.28372598,12.04370773,11.91029326,10.90996389,11.93506543,12.08585349,13.11159781,13.45415852,12.31855199,11.48669032,12.47208949,
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9311266,16.22409611,18.27210553,17.98289959,17.30996316,18.56789571,19.16142193,17.29562567,19.47439041,22.00261048,18.52292336,18.32261494,16.46270818,15.01748414,15.31408258,17.76334819,19.52968349,17.86238227,17.54448792,17.58409314,17.17289829,16.7176405,16.2285575,15.61057858,15.90749683,16.39423687,,
