시도별,교육정도별,경제활동인구 (천명),비경제활동인구 (천명),경제활동참가율 (%)
계,계,27995,16889,62.4
계,초졸이하,1918,3430,35.9
계,중졸,2078,3143,39.8
계,고졸,10547,6325,62.5
계,대졸이상,13453,3991,77.1
계,전문대졸,3772,1070,77.9
계,대학교졸이상,9681,2921,76.8
서울특별시,계,5288,3244,62
서울특별시,초졸이하,207,507,29
서울특별시,중졸,288,567,33.7
서울특별시,고졸,1646,1219,57.5
서울특별시,대졸이상,3147,952,76.8
서울특별시,전문대졸,635,175,78.4
서울특별시,대학교졸이상,2512,776,76.4
부산광역시,계,1710,1235,58.1
부산광역시,초졸이하,102,248,29.1
부산광역시,중졸,164,241,40.6
부산광역시,고졸,643,453,58.7
부산광역시,대졸이상,801,294,73.2
부산광역시,전문대졸,207,74,73.5
부산광역시,대학교졸이상,594,220,73
대구광역시,계,1252,834,60
대구광역시,초졸이하,88,168,34.3
대구광역시,중졸,100,164,37.8
대구광역시,고졸,413,291,58.7
대구광역시,대졸이상,651,211,75.5
대구광역시,전문대졸,208,61,77.4
대구광역시,대학교졸이상,443,150,74.7
인천광역시,계,1632,916,64
인천광역시,초졸이하,72,181,28.5
인천광역시,중졸,120,202,37.3
인천광역시,고졸,757,367,67.3
인천광역시,대졸이상,683,165,80.5
인천광역시,전문대졸,252,76,76.8
인천광역시,대학교졸이상,430,89,82.9
광주광역시,계,779,498,61
광주광역시,초졸이하,40,96,29.6
광주광역시,중졸,50,96,34.2
광주광역시,고졸,285,188,60.2
광주광역시,대졸이상,405,118,77.4
광주광역시,전문대졸,114,34,76.8
광주광역시,대학교졸이상,291,84,77.6
대전광역시,계,814,470,63.4
대전광역시,초졸이하,41,91,31.1
대전광역시,중졸,50,94,34.8
대전광역시,고졸,316,181,63.6
대전광역시,대졸이상,408,105,79.6
대전광역시,전문대졸,99,21,82.3
대전광역시,대학교졸이상,309,83,78.7
울산광역시,계,581,383,60.3
울산광역시,초졸이하,27,73,27.1
울산광역시,중졸,41,71,36.3
울산광역시,고졸,244,153,61.5
울산광역시,대졸이상,270,86,75.8
울산광역시,전문대졸,99,28,77.7
울산광역시,대학교졸이상,171,58,74.7
세종특별자치시,계,185,107,63.3
세종특별자치시,초졸이하,8,18,30.4
세종특별자치시,중졸,7,18,29
세종특별자치시,고졸,38,36,51
세종특별자치시,대졸이상,132,36,78.8
세종특별자치시,전문대졸,22,9,71.5
세종특별자치시,대학교졸이상,111,27,80.4
경기도,계,7178,4357,62.2
경기도,초졸이하,276,711,28
경기도,중졸,448,772,36.7
경기도,고졸,2854,1734,62.2
경기도,대졸이상,3600,1141,75.9
경기도,전문대졸,948,295,76.3
경기도,대학교졸이상,2652,846,75.8
강원도,계,817,492,62.4
강원도,초졸이하,113,141,44.4
강원도,중졸,77,96,44.5
강원도,고졸,304,166,64.6
강원도,대졸이상,324,89,78.5
강원도,전문대졸,96,33,74.7
강원도,대학교졸이상,227,56,80.2
충청북도,계,913,497,64.8
충청북도,초졸이하,88,127,40.9
충청북도,중졸,80,91,47
충청북도,고졸,378,182,67.5
충청북도,대졸이상,367,97,79.1
충청북도,전문대졸,116,27,81.1
충청북도,대학교졸이상,251,70,78.2
충청남도,계,1219,667,64.7
충청남도,초졸이하,141,193,42.3
충청남도,중졸,118,117,50.3
충청남도,고졸,507,232,68.7
충청남도,대졸이상,452,126,78.3
충청남도,전문대졸,153,39,79.8
충청남도,대학교졸이상,299,87,77.5
전라북도,계,970,583,62.4
전라북도,초졸이하,135,161,45.6
전라북도,중졸,91,99,47.9
전라북도,고졸,358,231,60.8
전라북도,대졸이상,385,93,80.6
전라북도,전문대졸,117,31,78.8
전라북도,대학교졸이상,268,61,81.4
전라남도,계,996,527,65.4
전라남도,초졸이하,156,171,47.7
전라남도,중졸,114,103,52.5
전라남도,고졸,366,167,68.7
전라남도,대졸이상,360,86,80.7
전라남도,전문대졸,147,34,81.3
전라남도,대학교졸이상,212,52,80.3
경상북도,계,1475,845,63.6
경상북도,초졸이하,206,245,45.8
경상북도,중졸,144,153,48.4
경상북도,고졸,533,291,64.7
경상북도,대졸이상,592,156,79.1
경상북도,전문대졸,246,58,80.9
경상북도,대학교졸이상,346,98,77.9
경상남도,계,1795,1059,62.9
경상남도,초졸이하,175,263,40
경상남도,중졸,159,226,41.4
경상남도,고졸,768,375,67.2
경상남도,대졸이상,692,196,78
경상남도,전문대졸,245,62,79.8
경상남도,대학교졸이상,447,134,77
제주도,계,391,174,69.3
제주도,초졸이하,42,37,53
제주도,중졸,25,34,43.1
제주도,고졸,137,61,69.3
제주도,대졸이상,186,42,81.6
제주도,전문대졸,69,13,84.4
제주도,대학교졸이상,118,29,80.1
