state,place_id,period,index_nsa,index_sa
Alaska,AK,1991-Q1,100,100
Alaska,AK,1991-Q2,99.7,99.4
Alaska,AK,1991-Q3,101.34,100.71
Alaska,AK,1991-Q4,100.06,100.6
Alaska,AK,1992-Q1,101.74,101.72
Alaska,AK,1992-Q2,103.04,102.7
Alaska,AK,1992-Q3,104.48,103.84
Alaska,AK,1992-Q4,104.06,104.68
Alaska,AK,1993-Q1,103.39,103.35
Alaska,AK,1993-Q2,106.54,106.1
Alaska,AK,1993-Q3,107.65,107.06
Alaska,AK,1993-Q4,109.4,110.08
Alaska,AK,1994-Q1,111.4,111.35
Alaska,AK,1994-Q2,112.75,112.2
Alaska,AK,1994-Q3,113.77,113.24
Alaska,AK,1994-Q4,112.6,113.3
Alaska,AK,1995-Q1,115.25,115.21
Alaska,AK,1995-Q2,117.42,116.77
Alaska,AK,1995-Q3,118.57,118.08
Alaska,AK,1995-Q4,118.71,119.37
Alaska,AK,1996-Q1,121.95,122.01
Alaska,AK,1996-Q2,123.27,122.55
Alaska,AK,1996-Q3,121.56,121.05
Alaska,AK,1996-Q4,124.17,124.77
Alaska,AK,1997-Q1,124,124.22
Alaska,AK,1997-Q2,125.92,125.13
Alaska,AK,1997-Q3,127.13,126.57
Alaska,AK,1997-Q4,127.11,127.61
Alaska,AK,1998-Q1,128.04,128.49
Alaska,AK,1998-Q2,131.11,130.23
Alaska,AK,1998-Q3,132.49,131.85
Alaska,AK,1998-Q4,134.13,134.53
Alaska,AK,1999-Q1,133.47,134.18
Alaska,AK,1999-Q2,135.73,134.76
Alaska,AK,1999-Q3,137.01,136.27
Alaska,AK,1999-Q4,135.44,135.78
Alaska,AK,2000-Q1,136.63,137.51
Alaska,AK,2000-Q2,140.98,139.98
Alaska,AK,2000-Q3,141.22,140.37
Alaska,AK,2000-Q4,141.36,141.71
Alaska,AK,2001-Q1,144.16,145.17
Alaska,AK,2001-Q2,148.35,147.29
Alaska,AK,2001-Q3,151.53,150.59
Alaska,AK,2001-Q4,153.26,153.62
Alaska,AK,2002-Q1,153.46,154.52
Alaska,AK,2002-Q2,158.97,157.92
Alaska,AK,2002-Q3,161.89,160.84
Alaska,AK,2002-Q4,162.02,162.32
Alaska,AK,2003-Q1,166.21,167.44
Alaska,AK,2003-Q2,169.25,168.17
Alaska,AK,2003-Q3,172.22,171.03
Alaska,AK,2003-Q4,175.19,175.43
Alaska,AK,2004-Q1,177.78,179.26
Alaska,AK,2004-Q2,184.13,182.97
Alaska,AK,2004-Q3,188.25,186.83
Alaska,AK,2004-Q4,192.31,192.42
Alaska,AK,2005-Q1,197.57,199.68
Alaska,AK,2005-Q2,203.92,202.42
Alaska,AK,2005-Q3,211.13,209.37
Alaska,AK,2005-Q4,214.23,214.32
Alaska,AK,2006-Q1,216.16,218.89
Alaska,AK,2006-Q2,224.53,222.69
Alaska,AK,2006-Q3,227.34,225.29
Alaska,AK,2006-Q4,227.18,227.12
Alaska,AK,2007-Q1,226.48,229.92
Alaska,AK,2007-Q2,234.38,232.17
Alaska,AK,2007-Q3,233.3,231.01
Alaska,AK,2007-Q4,229.51,229.54
Alaska,AK,2008-Q1,221.46,225
Alaska,AK,2008-Q2,230.94,228.68
Alaska,AK,2008-Q3,231.96,229.56
Alaska,AK,2008-Q4,225.73,225.8
Alaska,AK,2009-Q1,228.56,232.4
Alaska,AK,2009-Q2,226.91,224.51
Alaska,AK,2009-Q3,225.96,223.51
Alaska,AK,2009-Q4,225.75,226.14
Alaska,AK,2010-Q1,220.78,224.32
Alaska,AK,2010-Q2,229.08,226.64
Alaska,AK,2010-Q3,229.51,226.87
Alaska,AK,2010-Q4,225.7,226.37
Alaska,AK,2011-Q1,226.25,229.92
Alaska,AK,2011-Q2,227.48,224.83
Alaska,AK,2011-Q3,228.53,225.74
Alaska,AK,2011-Q4,224.8,225.97
Alaska,AK,2012-Q1,221.74,225.16
Alaska,AK,2012-Q2,232.83,229.96
Alaska,AK,2012-Q3,232.23,229.35
Alaska,AK,2012-Q4,230.3,231.73
Alaska,AK,2013-Q1,231.13,234.77
Alaska,AK,2013-Q2,238.9,235.61
Alaska,AK,2013-Q3,239.52,236.73
Alaska,AK,2013-Q4,233.07,234.63
Alaska,AK,2014-Q1,231.83,235.32
Alaska,AK,2014-Q2,244.23,240.8
Alaska,AK,2014-Q3,247.06,244.45
Alaska,AK,2014-Q4,242.98,244.43
Alaska,AK,2015-Q1,244.18,247.82
Alaska,AK,2015-Q2,251.65,248.04
Alaska,AK,2015-Q3,251.82,249.48
Alaska,AK,2015-Q4,255.01,256.47
Alaska,AK,2016-Q1,253.23,256.64
Alaska,AK,2016-Q2,261.11,257.5
Alaska,AK,2016-Q3,257.62,255.46
Alaska,AK,2016-Q4,256.38,257.87
Alaska,AK,2017-Q1,252.8,255.86
Alaska,AK,2017-Q2,259.04,255.44
Alaska,AK,2017-Q3,263.89,261.93
Alaska,AK,2017-Q4,260.36,262.04
Alaska,AK,2018-Q1,257.98,260.7
Alaska,AK,2018-Q2,264.32,260.71
Alaska,AK,2018-Q3,262.51,260.57
Alaska,AK,2018-Q4,261.59,263.6
Alaska,AK,2019-Q1,266.8,269.34
Alaska,AK,2019-Q2,275.49,271.66
Alaska,AK,2019-Q3,273.8,271.75
Alaska,AK,2019-Q4,267.41,269.81
Alaska,AK,2020-Q1,273.19,275.58
Alaska,AK,2020-Q2,283.03,279.03
Alaska,AK,2020-Q3,287.28,285.13
Alaska,AK,2020-Q4,290.94,293.78
Alabama,AL,1991-Q1,100,100
Alabama,AL,1991-Q2,101.52,101.21
Alabama,AL,1991-Q3,102.51,101.87
Alabama,AL,1991-Q4,103.49,102.83
Alabama,AL,1992-Q1,104.28,104.25
Alabama,AL,1992-Q2,105.2,104.89
Alabama,AL,1992-Q3,106.48,105.81
Alabama,AL,1992-Q4,108.13,107.48
Alabama,AL,1993-Q1,107.77,107.71
Alabama,AL,1993-Q2,109.8,109.49
Alabama,AL,1993-Q3,111.55,110.82
Alabama,AL,1993-Q4,112.62,112.01
Alabama,AL,1994-Q1,114.19,114.09
Alabama,AL,1994-Q2,115.84,115.51
Alabama,AL,1994-Q3,117.4,116.58
Alabama,AL,1994-Q4,119.12,118.55
Alabama,AL,1995-Q1,120.45,120.3
Alabama,AL,1995-Q2,121.67,121.34
Alabama,AL,1995-Q3,122.41,121.52
Alabama,AL,1995-Q4,122.4,121.86
Alabama,AL,1996-Q1,122.68,122.53
Alabama,AL,1996-Q2,125.73,125.35
Alabama,AL,1996-Q3,127.38,126.46
Alabama,AL,1996-Q4,128.46,127.9
Alabama,AL,1997-Q1,129.47,129.32
Alabama,AL,1997-Q2,130.17,129.76
Alabama,AL,1997-Q3,131.85,130.94
Alabama,AL,1997-Q4,132.36,131.74
Alabama,AL,1998-Q1,132.44,132.29
Alabama,AL,1998-Q2,134.53,134.07
Alabama,AL,1998-Q3,136.52,135.64
Alabama,AL,1998-Q4,137.9,137.22
Alabama,AL,1999-Q1,138.37,138.23
Alabama,AL,1999-Q2,140.66,140.13
Alabama,AL,1999-Q3,141.38,140.55
Alabama,AL,1999-Q4,143.46,142.74
Alabama,AL,2000-Q1,145.18,145.02
Alabama,AL,2000-Q2,145.94,145.36
Alabama,AL,2000-Q3,147.29,146.46
Alabama,AL,2000-Q4,148.02,147.28
Alabama,AL,2001-Q1,148.93,148.78
Alabama,AL,2001-Q2,150.05,149.43
Alabama,AL,2001-Q3,150.84,149.95
Alabama,AL,2001-Q4,152.19,151.46
Alabama,AL,2002-Q1,151.97,151.83
Alabama,AL,2002-Q2,153.57,152.93
Alabama,AL,2002-Q3,154.27,153.27
Alabama,AL,2002-Q4,155.55,154.87
Alabama,AL,2003-Q1,156.87,156.79
Alabama,AL,2003-Q2,158.82,158.1
Alabama,AL,2003-Q3,161.4,160.3
Alabama,AL,2003-Q4,161.89,161.23
Alabama,AL,2004-Q1,160.62,160.63
Alabama,AL,2004-Q2,163.96,163.13
Alabama,AL,2004-Q3,168.3,167.06
Alabama,AL,2004-Q4,170.03,169.4
Alabama,AL,2005-Q1,172.74,172.88
Alabama,AL,2005-Q2,177.22,176.2
Alabama,AL,2005-Q3,180.41,179
Alabama,AL,2005-Q4,183.2,182.57
Alabama,AL,2006-Q1,186.65,187.01
Alabama,AL,2006-Q2,190.12,188.84
Alabama,AL,2006-Q3,191.05,189.51
Alabama,AL,2006-Q4,192.18,191.48
Alabama,AL,2007-Q1,190.75,191.45
Alabama,AL,2007-Q2,192.57,190.98
Alabama,AL,2007-Q3,192.24,190.74
Alabama,AL,2007-Q4,189.44,188.63
Alabama,AL,2008-Q1,186.65,187.68
Alabama,AL,2008-Q2,186.56,184.75
Alabama,AL,2008-Q3,183.29,181.89
Alabama,AL,2008-Q4,178.17,177.33
Alabama,AL,2009-Q1,171.76,172.93
Alabama,AL,2009-Q2,174.78,172.96
Alabama,AL,2009-Q3,172.94,171.64
Alabama,AL,2009-Q4,171.03,170.13
Alabama,AL,2010-Q1,163.94,165.2
Alabama,AL,2010-Q2,163.98,162.26
Alabama,AL,2010-Q3,157.69,156.44
Alabama,AL,2010-Q4,155.28,154.48
Alabama,AL,2011-Q1,152.63,153.8
Alabama,AL,2011-Q2,154.64,153.09
Alabama,AL,2011-Q3,153.37,152.05
Alabama,AL,2011-Q4,151.26,150.54
Alabama,AL,2012-Q1,151.16,152.28
Alabama,AL,2012-Q2,149.64,148.19
Alabama,AL,2012-Q3,150.84,149.37
Alabama,AL,2012-Q4,154.94,154.35
Alabama,AL,2013-Q1,149.66,150.64
Alabama,AL,2013-Q2,154.04,152.6
Alabama,AL,2013-Q3,156.81,155.2
Alabama,AL,2013-Q4,154.46,154.03
Alabama,AL,2014-Q1,154.7,155.65
Alabama,AL,2014-Q2,157.84,156.3
Alabama,AL,2014-Q3,159.33,157.64
Alabama,AL,2014-Q4,159.35,159.12
Alabama,AL,2015-Q1,159.32,160.22
Alabama,AL,2015-Q2,163.52,161.75
Alabama,AL,2015-Q3,163.34,161.71
Alabama,AL,2015-Q4,163.28,163.22
Alabama,AL,2016-Q1,163.09,163.9
Alabama,AL,2016-Q2,168.43,166.42
Alabama,AL,2016-Q3,168.77,167.24
Alabama,AL,2016-Q4,169.35,169.42
Alabama,AL,2017-Q1,169.97,170.64
Alabama,AL,2017-Q2,174.5,172.32
Alabama,AL,2017-Q3,176.16,174.8
Alabama,AL,2017-Q4,175.8,175.82
Alabama,AL,2018-Q1,178.13,178.68
Alabama,AL,2018-Q2,183.45,181.18
Alabama,AL,2018-Q3,183.75,182.5
Alabama,AL,2018-Q4,183.54,183.47
Alabama,AL,2019-Q1,186.2,186.63
Alabama,AL,2019-Q2,191.27,188.98
Alabama,AL,2019-Q3,192.54,191.4
Alabama,AL,2019-Q4,194.54,194.3
Alabama,AL,2020-Q1,196.57,196.93
Alabama,AL,2020-Q2,203.3,200.96
Alabama,AL,2020-Q3,207.09,206.01
Alabama,AL,2020-Q4,213.92,213.48
Arkansas,AR,1991-Q1,100,100
Arkansas,AR,1991-Q2,100.33,100.07
Arkansas,AR,1991-Q3,101.84,101.55
Arkansas,AR,1991-Q4,103.55,103.34
Arkansas,AR,1992-Q1,103.92,103.92
Arkansas,AR,1992-Q2,103.19,102.91
Arkansas,AR,1992-Q3,105.21,104.89
Arkansas,AR,1992-Q4,105.92,105.75
Arkansas,AR,1993-Q1,106.48,106.51
Arkansas,AR,1993-Q2,109.51,109.16
Arkansas,AR,1993-Q3,110.51,110.14
Arkansas,AR,1993-Q4,111.83,111.72
Arkansas,AR,1994-Q1,113.85,113.91
Arkansas,AR,1994-Q2,115.9,115.48
Arkansas,AR,1994-Q3,116.41,115.97
Arkansas,AR,1994-Q4,117.36,117.32
Arkansas,AR,1995-Q1,118.94,119.02
Arkansas,AR,1995-Q2,120.7,120.21
Arkansas,AR,1995-Q3,122.85,122.36
Arkansas,AR,1995-Q4,123.55,123.57
Arkansas,AR,1996-Q1,124.81,124.86
Arkansas,AR,1996-Q2,126.5,125.99
Arkansas,AR,1996-Q3,126.2,125.67
Arkansas,AR,1996-Q4,127.55,127.6
Arkansas,AR,1997-Q1,127.42,127.45
Arkansas,AR,1997-Q2,128.42,127.95
Arkansas,AR,1997-Q3,129.76,129.21
Arkansas,AR,1997-Q4,129.72,129.76
Arkansas,AR,1998-Q1,130.25,130.26
