지역,2016인구,2016인구밀도,2017인구,2017인구밀도,2018인구,2018인구밀도,2019인구,2019인구밀도,2020인구,2020인구밀도
서울,9843,16263,9766,16136,9705,16034,9662,15964,9602,15865
부산,3447,4477,3424,4447,3400,4416,3373,4380,3344,4342
대구,2461,2786,2458,2782,2450,2773,2432,2753,2419,2738
인천,2907,2736,2924,2750,2939,2764,2944,2769,2951,2770
광주,1502,2997,1495,2984,1493,2980,1494,2980,1488,2969
대전,1536,2848,1528,2832,1518,2813,1509,2796,1500,2780
울산,1166,1099,1159,1092,1154,1088,1147,1080,1140,1073
세종,234,504,266,571,304,653,331,712,349,750
경기,12600,1237,12786,1255,13031,1279,13238,1299,13405,1315
강원,1521,90,1521,90,1521,90,1517,90,1515,90
충북,1601,216,1609,217,1619,219,1626,219,1632,220
충남,2126,258,2153,262,2180,265,2188,265,2204,267
전북,1835,227,1829,227,1820,226,1803,223,1792,222
전남,1798,146,1795,146,1790,145,1773,144,1764,143
경북,2683,141,2675,141,2674,141,2665,140,2655,140
경남,3338,317,3339,317,3356,318,3350,318,3350,318
제주,618,334,635,343,653,353,660,356,670,362
수도권,25350,2139,25476,2149,25675,2165,25844,2179,25958,2188
