state,총 이주율,1000명당 이주율
Alabama,9387.00,1.91
Alaska,-9482.00,-12.96
Arizona,91017.00,12.50
Arkansas,2515.00,0.83
California,-203414.00,-5.15
Colorado,31335.00,5.44
Connecticut,-22059.00,-6.19
Delaware,6961.00,7.15
D.C,-2203.00,-3.12
Florida,133910.00,6.23
Georgia,49680.00,4.68
Hawaii,-13817.00,-9.76
Idaho,27360.00,15.31
Illinois,-104986.00,-8.28
Indiana,3997.00,0.59
Iowa,-5011.00,-1.59
Kansas,-12357.00,-4.24
Kentucky,-1541.00,-0.34
Louisiana,-26045.00,-5.60
Maine,6613.00,4.92
Maryland,-23665.00,-3.91
Massachusetts,-30274.00,-4.36
Michigan,-23670.00,-2.37
Minnesota,65.00,0.01
Mississippi,-10740.00,-3.61
Missouri,-710.00,-0.12
Montana,6024.00,5.64
Nebraska,-4220.00,-2.18
Nevada,43207.00,14.03
New Hampshire,4469.00,3.29
New Jersey,-48946.00,-5.51
New Mexico,-2136.00,-1.02
New York,-180649.00,-9.29
North Carolina,67338.00,6.42
North Dakota,-1267.00,-1.66
Ohio,-12916.00,-1.10
Oklahoma,3822.00,0.97
Oregon,25821.00,6.12
Pennsylvania,-19588.00,-1.53
Rhode Island,-3215.00,-3.03
South Carolina,53034.00,10.30
South Dakota,964.00,1.09
Tennessee,36009.00,5.27
Texas,125660.00,4.33
Utah,15588.00,4.86
Vermont,-682.00,-1.09
Virginia,-9136.00,-1.07
Washington,37476.00,4.92
West Virginia,-7073.00,-3.95
Wisconsin,-1438.00,-0.25
Wyoming,-1012.00,-1.75
