state,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,843.2,697.5,583.7,421.9,435.6,556.3,586.9,683.2,733.7,673.8,705.5,800,1100.6,1568.6,1950.6,2107.4,2214.3,2218.1,2382.4,2617,2513.4,2811.3,3277.2,3487,3642.8,3516.5,3980.3,4269.9,4538.5,4732.8,4977,5188.3,5360.1,5634.1,5984.1,6497.6,7052.4,7563.9,7991.8,8737.5,9737.7,10628.3,11699.3,12999.1,14638.9,16241.1,18100.1,20324.1,22394.9,25339.9,28151.4,31037.1,34465.5,36396.1,38970.5,42870.2,46098.7,48790.3,51652,55558.8,60395.7,64239.8,67929.9,73039.8,76398,80848.4,85473.6,89350,93981.4,99953.3,103453.1,108355.1,112154.9,115191.8,120211.1,128739.9,136327.3,145175.8,152327,157366.8,155145.3,161516.6,167942.8,172804.1,174415.4,180457.7,188711.4,192281.9,199999.8,208752.7,216449
Alaska,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),391.4,537.4,615.2,649.6,629.3,640.7,676.8,669.3,672.2,700.3,806.3,796.5,831,900.7,1008.6,1088.5,1158.7,1263.6,1365.1,1575.3,1799,1984.1,2166.8,2507.7,3042.6,4156.8,4893.3,5081.9,5235.9,5546.8,6285,7152.3,8733.4,9513.5,10120.6,10965.8,11065.6,10618.1,11067.6,12110.5,12843.3,13405.1,14270.7,15007.3,15513.1,15955.8,16403,17276.6,18114.5,18675.7,20078.7,21240.4,22246.5,23239.6,24338.3,25956.9,27726.7,29838.9,32825.1,32896.4,35293.8,37827.8,39169.2,38859.5,41110.4,42505.8,41745.6,42454.4,44369.6,45945.1
Arizona,257.3,224.7,184.5,137,131.8,154.9,180.4,204.8,229,223.3,237.8,252.6,319.5,505.1,690.5,665,679.4,698.9,781.6,934.5,958.7,1064.4,1316.8,1497.6,1590,1647.7,1809.3,2039.6,2232.1,2372.2,2618.3,2855.8,3109.9,3349.8,3521.6,3777.1,4003.8,4359.7,4739.3,5437.3,6327.1,7216.1,8255.6,9464.6,10934.2,12336.1,13317.8,14813.2,16646.8,19559.6,22986.6,26477.6,30247.1,32197.4,35452.6,40055.6,44570.3,48739.4,52518.4,56718.4,60862.5,63821,67174.6,71692.1,77041,84343.7,91989.4,99707.6,108023.1,118057.6,124654.4,135387.5,141344.5,146505.2,155175,169638.7,188136.5,209127,220735.9,223345.8,211975.3,215523.6,226365.3,236846.1,242856,257410.4,271258,283199.3,300007.5,319226.3,335243.1
Arkansas,560.4,416.5,381.8,278.5,283.2,341.8,386,460.2,481.6,439.1,479.1,502,676.3,973.7,1051.3,1236.4,1324.1,1371.6,1357.5,1607.5,1508.8,1620.7,1843.6,1917.2,1929.4,1908.2,2073.9,2149.6,2218.9,2311.1,2522.3,2548,2771.6,2965.6,3142.2,3412.3,3602.1,4004.8,4254.3,4600.9,5128.5,5626.5,6263.1,7071.2,8376.1,9353.5,10292.1,11378.9,12661.8,14668.8,16088,17388.3,19702.6,20702.3,21934.8,24458.4,25982.3,27303.7,28434.8,30505.9,32721.2,34457.5,36459.1,39714.4,41648.4,44288.6,47164.7,50047.9,52508,55736.1,57973.4,60969.9,64168.1,65661.6,69547.4,74033,78000.3,83068.2,88508.3,91812.1,90246,93290.5,99571.5,106984.7,107240.7,113545.5,117671.8,120748.2,125025.7,130397.5,134682.7
California,5495.5,5079.4,4387.5,3441.4,3277.3,3666.5,4107.3,4923.2,5231.8,5188.3,5362,5947.6,7519.7,10344.7,13700.6,14963.9,15585,16590.5,17086,18274.5,18601.7,20788.1,24117.2,26794.1,28728.1,29603.7,32550,35615.7,38269.5,40252.4,44031.4,46521.1,49266.6,53085.5,56740.1,61404.6,65617.5,71356,76731.6,84055.7,92160,99417.5,105987.2,116351.1,127777.3,142507.4,157639.9,174924.8,194032.9,220640.1,250173.9,284308,319557.2,342342.5,369808.8,410796.4,444066.9,476682.2,513377.1,558041.1,600755.1,643684.9,665992.6,702449.1,719731,742429.1,780642.8,829666.6,882677.3,959949.7,1026419.3,1133965.4,1173768.8,1193118,1248506.5,1329404,1407285.5,1516057.5,1581573.3,1606579.9,1554013.3,1628457.6,1737940,1852397.5,1886376.6,2021035.6,2172930.2,2273557.5,2383130.5,2514503.4,2632279.8
Colorado,635.6,596.8,498.5,380.3,378.4,399.5,480,590.4,589.5,564.5,581.4,619.7,736,1038.5,1228.2,1221.3,1350.2,1472.3,1695.8,1880.6,1914.6,2098.9,2493.8,2692.5,2725.8,2808.7,3059.7,3376,3699.1,3787.1,4068,4353.4,4683.9,4942.1,5174.4,5474.2,5840.6,6275.8,6763.5,7502.7,8438.8,9540.2,10759.7,12176.1,13923.1,15609.2,17249.7,18981.3,21174.2,24413.5,27979.3,32050.8,36882.9,40505.9,43694.2,47644.6,50483.6,52445.7,54400,57556.6,62010.1,65667.2,69601.9,75599.1,81812.1,87983.8,95648.8,103235.8,111207.8,123101.2,133020.5,147924.9,154999.8,155404.1,158210.9,164106,175273,189475.6,201875.5,208738,198800.2,205372.4,223153.2,237141.5,249281.6,271307.5,284819.6,290669.6,312045.5,335195.8,352184.7
Connecticut,1640.5,1494.7,1313.1,1026.9,970.3,1091.2,1191,1362.2,1459.3,1312,1436.6,1589.7,2029.9,2588.3,2912.4,2921.7,2837.5,3058,3387.8,3508.9,3417.3,3867.6,4444.2,4860.8,5269.9,5373.8,5787.9,6323.5,6744.3,6538,6986.9,7276.1,7701.7,8227.2,8691.1,9334.8,10038.6,11023.5,12086.4,12828.8,14692.5,15673.8,16514.4,17804.7,19393.4,21157.2,22725.5,24536.4,27032.7,30080.9,33813.6,38493.9,43243,46701.3,49958.2,55880.7,60000,64553.3,70443.3,77668.2,84249,86889.1,87815.8,94269.3,97347.6,100108.3,105642.5,110746.3,117991.8,127327.7,134415.3,147054.8,155243.1,155347.9,157679.4,166262,175470.6,189750.4,204090.2,216865.3,213612.1,222226,228929.4,233337.8,228472.2,239001.1,245244,250178.6,256348.8,267346.2,275556.8
Delaware,243.4,205.1,187.7,144.9,140.4,161.8,177.9,220.5,242.7,205.9,238.6,279.2,325.4,368.6,419,437.2,443.9,473.7,513,523.9,570,668.2,717.7,770.1,825,857,988.9,1141.3,1149,1181,1231.6,1290.1,1331.2,1413.5,1516.7,1641.2,1805.7,1902.6,2030.6,2215.2,2441.2,2599.9,2844.1,3124.9,3462.3,3747.1,4029.2,4404,4741.1,5201.6,5716.9,6430.5,7094.1,7634.1,8131.6,8972.5,9733.8,10356.8,11194.2,12256.4,13630.7,14367.1,15196.3,15854.3,16466.8,17165.3,18172,19433.9,20342.3,22502.3,24170.2,26663.8,29402.4,30386.8,31094.6,32376.7,33303.1,35265.5,36340.6,35993.2,36284.2,36725.7,39825.6,40338.4,40949.5,42888.3,45196.4,46341.8,48604.3,51103.1,53055.3
D.C,639.3,641.4,631.7,567.9,500.2,547.2,626.8,719,745.7,728.4,766.2,842.4,971.3,1247,1447.6,1439.3,1516.9,1630.7,1639.5,1780.6,1844.8,1956.5,2058.2,2167.7,2105.1,2073.5,2058.8,2155.8,2242.3,2291.8,2363.4,2390.4,2517.4,2709.2,2876.7,3054.2,3290.8,3436.4,3682,3865.3,3763.5,4174.4,4647,5043.5,5316.1,5768.7,6274.7,6648.1,7137.5,7604.4,8003,8447.4,9094.1,9694.1,10192.7,11126.3,11781.5,12399.3,13078.7,14309.8,15152.5,15818.1,16536.8,17369.3,18066.7,18484.6,18621.1,19387.3,20290.5,21533.7,22559.3,24794.5,25677.5,25869.8,26177.8,28501.7,30163.9,32001.1,34480.2,35462.3,35798.8,38481.5,41786.3,43426.9,44189.2,47259.7,50963.6,53375.8,55051.1,56995.8,58864
Florida,749.9,688,592.6,482.4,448.4,551.8,610.4,748.6,838.9,825,920.9,1017.7,1285.6,1832.7,2639.7,2934.7,3054.8,2967.4,3034.8,3197.7,3324.5,3795.2,4292.7,4857.7,5416.5,5707.6,6529.9,7566.1,8374.5,9106.1,10053.2,10531.6,11165.4,12055.9,12938.9,14155.4,15473.4,16975.6,18771.7,21580.6,25004.9,28276.2,31756.4,36550,42578.3,47883.1,52167.9,57012.4,63844.3,73633.3,84660.2,99826.8,115731.2,125053.4,138093.1,153887.6,168327.4,182124,197185.2,216604.8,241142.9,257571.4,268375.2,284266,301392.6,317674.9,341583.5,363906.8,385402,415875.5,436186.1,472238.6,496337.2,512812.5,539102.8,586785,642506.7,698476,727404.7,727138.5,682891.7,725074,764633.7,793428.8,795425,856161.8,914928.4,949718,1016819,1082702.2,1125984
