행정구역별,산업별,종사자규모별,항목,단위,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년
전국,전체 산업,계,사업체수,개,3355459,3470023,3602461,3676859,3812800,3874156,3950169,4019872,4103172,4176549
전국,전체 산업,계,종사자수,명,17646973,18093127,18569256,19173387,19899697,20889239,21259126,21626904,22234776,22723272
전국,전체 산업,1 - 4명,사업체수,개,2804612,2879668,2963367,3005238,3099808,3125589,3173185,3228202,3274152,3322812
전국,전체 산업,1 - 4명,종사자수,명,5075161,5211805,5298493,5377943,5586586,5602005,5705519,5847700,5878444,6041327
전국,전체 산업,5 - 9명,사업체수,개,283153,316658,366257,384596,414513,434111,454806,466829,491200,511446
전국,전체 산업,5 - 9명,종사자수,명,1841398,2068261,2341182,2443380,2638253,2770598,2900439,2989161,3157255,3239687
전국,전체 산업,10 - 19명,사업체수,개,142499,148972,146802,155266,161661,168008,176344,178231,186654,187627
전국,전체 산업,10 - 19명,종사자수,명,1894082,1968751,1955813,2053749,2139169,2225017,2331473,2354201,2459688,2468285
전국,전체 산업,20 - 49명,사업체수,개,82250,82537,82541,86940,90937,96868,96370,97545,100961,102986
전국,전체 산업,20 - 49명,종사자수,명,2463742,2468511,2490187,2600910,2718533,2893152,2873053,2905930,2998730,3057377
전국,전체 산업,50 - 99명,사업체수,개,27102,26179,27164,27976,28773,31126,30808,30284,31235,32315
전국,전체 산업,50 - 99명,종사자수,명,1856784,1798728,1877141,1926370,1972069,2132728,2106649,2058541,2133060,2216668
전국,전체 산업,100 - 299명,사업체수,개,12552,12675,12987,13395,13652,14656,14710,14758,14907,15232
전국,전체 산업,100 - 299명,종사자수,명,1960673,1975546,2017880,2091143,2129727,2292738,2292599,2308801,2333320,2398379
전국,전체 산업,300 - 499명,사업체수,개,1685,1684,1717,1815,1777,1967,2050,2093,2092,2102
전국,전체 산업,300 - 499명,종사자수,명,639969,635807,646282,689070,671215,746602,775166,792484,792143,796079
전국,전체 산업,500 - 999명,사업체수,개,1042,1112,1083,1073,1122,1195,1270,1257,1275,1310
전국,전체 산업,500 - 999명,종사자수,명,704532,753306,735505,728201,763978,810407,874027,864717,883140,900397
전국,전체 산업,1000명 이상,사업체수,개,564,538,543,560,557,636,626,673,696,719
전국,전체 산업,1000명 이상,종사자수,명,1210632,1212412,1206773,1262621,1280167,1415992,1400201,1505369,1598996,1605073
전국,"농업, 임업 및 어업(01~03)",계,사업체수,개,2253,2363,2388,2655,3159,3289,3627,3880,4261,4522
전국,"농업, 임업 및 어업(01~03)",계,종사자수,명,29433,31235,30836,34202,36034,39490,39650,40642,42324,43920
전국,"농업, 임업 및 어업(01~03)",1 - 4명,사업체수,개,869,886,957,979,1260,1298,1597,1787,2115,2355
전국,"농업, 임업 및 어업(01~03)",1 - 4명,종사자수,명,2078,2040,2024,2154,2884,2928,3650,3989,4720,5119
전국,"농업, 임업 및 어업(01~03)",5 - 9명,사업체수,개,547,573,572,690,905,931,1007,1058,1099,1103
전국,"농업, 임업 및 어업(01~03)",5 - 9명,종사자수,명,3679,3978,3807,4715,6018,6216,6609,6953,7224,7322
전국,"농업, 임업 및 어업(01~03)",10 - 19명,사업체수,개,460,479,459,529,517,531,542,554,556,567
전국,"농업, 임업 및 어업(01~03)",10 - 19명,종사자수,명,6095,6354,6165,7065,6934,7200,7217,7484,7557,7418
전국,"농업, 임업 및 어업(01~03)",20 - 49명,사업체수,개,282,326,311,363,386,418,367,363,381,375
전국,"농업, 임업 및 어업(01~03)",20 - 49명,종사자수,명,8485,9416,9387,10920,11596,12685,11141,10983,11422,11213
전국,"농업, 임업 및 어업(01~03)",50 - 99명,사업체수,개,71,73,59,67,66,84,84,89,75,87
전국,"농업, 임업 및 어업(01~03)",50 - 99명,종사자수,명,4895,5113,3994,4625,4542,5896,5907,6172,5291,6257
전국,"농업, 임업 및 어업(01~03)",100 - 299명,사업체수,개,23,25,28,25,24,25,28,27,32,32
전국,"농업, 임업 및 어업(01~03)",100 - 299명,종사자수,명,3327,3541,3803,3380,3263,3369,3806,3814,4477,4809
전국,"농업, 임업 및 어업(01~03)",300 - 499명,사업체수,개,0,0,0,0,0,1,1,1,2,2
